id,title,content,result,url
28,钟南山代言“吸氢疗法治新冠肺炎”,四川一家以“吸氢气”为卖点的生活体验馆宣称：通过他们的仪器制备氢气并吸入包治百病，甚至对治新冠肺炎都有效，该店还用钟南山头像做宣传代言。,假,https://vp.fact.qq.com/article?id=71f67c351fc70f3e1f7a2e324ba1897b
29,福建出现染上新型冠状病毒的牛,近期，不少福建网民流传有关牛生病的信息和图片，且谣传这是“染上了新型冠状病毒的牛”。,假,https://vp.fact.qq.com/article?id=da64d0833333a71458286c7ac0ef26df
30,新冠病毒G614突变株的感染效率提高9倍以上,有研究发现变异后的G614感染细胞能力明显提高，其感染效率比变异前提高了9倍以上。,疑,https://vp.fact.qq.com/article?id=f1d357eec73b03bd2e6434315c20c2c6
31,北京低风险地区出京取消核酸证明,7月4日零时起，北京低风险地区人员出京取消7日内核酸检测阴性证明。,真,https://vp.fact.qq.com/article?id=98f4c4a82b697d7088e398b81ba57828
32,北京石景山万达现核酸阳性人员,7月2日，一个视频在网上热传，称北京石景山万达广场一名女顾客崩溃大哭，因接到中日友好医院核酸检测结果为阳性。,真,https://vp.fact.qq.com/article?id=dd481787c3cc711c0fc1e6a7e50061d4
33,新冠病毒已变异，武汉又有几十人中招,7月1日，有武汉市民在小区业主群里发布消息称：“据说新冠病毒变异了，武汉又有几十人中招。”,假,https://vp.fact.qq.com/article?id=7d05266348a1c816b4df9b018b867fad
34,因疫情原因，中国驻纳米比亚使馆组织包机回国,近日，在一些纳米比亚中国公民的群里流传中国驻纳使馆打算安排回国包机，并征集有意向乘机的人员名单。,假,https://vp.fact.qq.com/article?id=0603184512d84638dc8b5430d9926f95
35,新发地牛羊肉综合大楼确诊102例所以牛羊肉不能吃,截至6月28日，新发地牛羊肉综合大楼地下一层从业人员已确诊102例新冠肺炎病例，有人说：牛羊肉会传染新冠病毒，不能再吃牛羊肉了。,假,https://vp.fact.qq.com/article?id=e8fb7f9640efbd45486fc6a7be70e80c
36,北京大部分银行因疫情将停业一周,近日，“北京市各大银行受疫情影响，在6月29日后绝大部分银行都会停业一周”在朋友圈传播。,假,https://vp.fact.qq.com/article?id=dbdfd384d1ffca3a9b7f8fa0c6f147d8
37,希腊红灯区重开后嫖客只能在房间呆15分钟,最近，网上流传消息称：考虑防止疫情蔓延，希腊对该国红灯区从业者提出要求“嫖客只能在房间里呆15分钟”。,假,https://vp.fact.qq.com/article?id=a22366a23bc812a6bd18e55d91512a1a
38,点外卖感染新冠病毒的可能性极低,外卖有风险吗——来自较真用户@ZhouZhq（周兆确）的提问,真,https://vp.fact.qq.com/article?id=d281b61334858131a11e0f06ec4a96d7
39,约基奇新冠病毒检测呈阳性,美国媒体报道NBA中锋约基奇核酸检测为阳性，曾和德约科维奇亲密接触。,真,https://vp.fact.qq.com/article?id=7689b429128b659a23d111546e5b1704
40,北京市民路过中高风险地区健康码会变色,近日，网上有传言称，“北京市内不能随便走了，如果不小心经过中高风险区域，手机内的健康宝会变成红色或者黄色。社区可能会找到你，让你居家隔离。”,假,https://vp.fact.qq.com/article?id=02006b6110a81fa05c374a6202f2cc8d
41,德约科维奇新冠病毒检测呈阳性,男子网坛多位球员参加阿德里亚巡回赛，新冠病毒检测呈阳性，德约科维奇新冠病毒检测也呈阳性。,真,https://vp.fact.qq.com/article?id=cf95a3e7c9df3b284654992733a5ad40
42,意大利从废水中检测出新冠病毒说明水会传播新冠病毒,意大利研究人员在废水中检测到了新冠病毒，水会传播新冠病毒被证实。,假,https://vp.fact.qq.com/article?id=1f2592304fcf3f38679109a6d7a4eb18
43,安徽大爷无健康码，徒步千里到浙江打工,近日，一则视频在网上热传，一位来自安徽的大爷因为没有手机，无法使用健康码乘车，于是步行十几天徒步千里到了浙江。,疑,https://vp.fact.qq.com/article?id=841703f3aa4e1a72132c52b5e56aaa5e
44,核酸检测前不能喝酒,头一天喝酒对第二天的核酸检测会有影响吗？——来自较真用户@康陂陂的提问,疑,https://vp.fact.qq.com/article?id=a0c9af724e62dc08ce7932af98790a27
45,鄂牌车车主因新冠肺炎去世未挪车,6月21日，网传一段视频称，车牌为鄂KC7137的车主停在孝感槐荫公园数月无人认领，车主因为患新冠肺炎去世。,假,https://vp.fact.qq.com/article?id=b9a62861647cb700db24d887b1078d6e
46,印度研制出纳米喷雾，喷一喷物体表面90天不沾病毒,据印度媒体报道，印度最近研制出了一种纳米喷雾技术，将喷雾喷在物体表面，静置两分钟之后用抹布擦干净，这种喷雾就会在物体表面形成一层厚度仅为0.001微米的保护膜，可以保证该物体表面在90天内都不会沾染病毒。,疑,https://vp.fact.qq.com/article?id=ce7ffce40fe76013debc554465a516a9
47,百事公司员工确诊新冠肺炎，乐事薯片不能吃了,6月21日，北京公布百事公司北京大兴分厂因有员工确诊新冠肺炎而停产停工，有传言称百事可乐能不能喝、乐事薯片不能吃了。,假,https://vp.fact.qq.com/article?id=a5a7d3bdd7b0bd828cb819945adf9893
48,李兰娟说“零下20℃，新冠病毒可存活20年”,近日，一条《李兰娟院士：“零下20℃，新冠病毒可存活20年”》的报道被大量转发。报道称，李兰娟院士说：新冠肺炎病毒特别的“不怕冷”，在零下4摄氏度该病毒可以存活数个月，在零下20摄氏度该病毒可存活20年。这解释了为什么几次病毒都在冷藏食品较多的海鲜市场被发现，病毒完全是可以被跨国转运的。,假,https://vp.fact.qq.com/article?id=b200695a32cbd5fff07be143a9b2bed0
49,此次北京新增确诊患者的治疗费用需自理,6月17日，朋友圈有传言称：“目前北京确诊人数达138例，治疗是否再次全免？官方回应来了！这次国家不再全部兜底，所有费用自理！”传言下方，则配以某保险公司的宣传海报，并呼吁：“商业健康医疗险、重疾险，人人必备！”,假,https://vp.fact.qq.com/article?id=bd49c0cf9eb1f5f4c44a45a3f2755a36
50,抗新冠病毒高免牛奶研发成功，可用于预防和辅助治疗,近日，网上流传的一则消息称，由华中农业大学陈焕春院士团队、武汉市农业科学院等单位联合研发的抗新冠病毒高免牛奶，通过采用新冠病毒灭活免疫原对奶牛进行多次免疫，分泌特异性抗体，产生的牛奶可以用于新冠肺炎的预防和辅助治疗。,假,https://vp.fact.qq.com/article?id=f515c6e05c7fbf972e516ea734e5f675
51,为疫情防控，84岁钟南山院士空降北京,6月18日，某微博博主发布了一条“钟南山院士已空降北京”的消息，文中称“本该养老的年龄，为了‘钟’止疫情，度过‘南’关，再次出‘山’！”,假,https://vp.fact.qq.com/article?id=2fb990916ed5c77e0a3c55ad855d171d
52,地塞米松是治疗新冠肺炎的特效药,价格低廉的地塞米松能帮助挽救新冠肺炎重症患者，是治疗新冠肺炎的“神药”。,疑,https://vp.fact.qq.com/article?id=16676620c8b888f5d866823d3ede7229
53,李兰娟提醒北京疫情可能全面爆发,网上出现一篇署名李兰娟院士的文章《李兰娟提醒：北京新冠疫情，可能将全面大爆发》。,假,https://vp.fact.qq.com/article?id=b4bc1296722efab48346dc962c1da5e4
54,钟南山院士告诫端午节前不要出门,近日，有关“全球第二波疫情”的话题引发热议。此时，一则“钟南山再次强调别出门，端午节6月25日再看疫情控制情况”的传言广为传播。,假,https://vp.fact.qq.com/article?id=0216e0add3fe285df25d03f93bc86313
55,新发地病毒与欧洲毒株相似，说明病毒来自欧洲,近日网上有传言称，在北京新发地市场检测出的病毒与欧洲毒株相似，因此可以断定病毒来自欧洲。,疑,https://vp.fact.qq.com/article?id=95f5010c947ff772921b4452fe019898
56,6月16日北京多条高速公路双向封闭,6月16日傍晚，关于北京“封路基本等于封城”的一张图片在社交媒体上流传。这张图片显示，这是北京日报客户端的一则新闻，京藏高速等多条高速路封闭。,假,https://vp.fact.qq.com/article?id=ccc1e78322f418890676e42c2b2deeaa
57,微信支付宝锁定35万人进行病毒筛查,网上有消息称“微信和支付宝立了大功，由于北京新发地疫情后市场内一直没有现金交易，支付宝和微信支付大数据确定有关人员，圈定了一个35万人的大名单现在马上全部实施病毒筛查”。,假,https://vp.fact.qq.com/article?id=8e8d26010653700460061ef62fee9475
58,6月15日0时起暂停外国人入境,6月14日开始，一张“6月15日起暂停外国人入境”的通知截图在网上流传。该截图显示这条通知由我国外交部发布于2020年6月15日，称中方决定自2020年6月15日0时起暂时停止外国人持目前有效来华签证和居留许可入境。同时，网上还流传着同样内容的另一张“6月22日0时起”开始...,疑,https://vp.fact.qq.com/article?id=70537ecda73825cc40c03b0d5a689250
59,咽拭子阳性的受检者就是新冠肺炎确诊病例,如果受检者咽拭子采集显示阳性，就说明确诊了新冠肺炎。,疑,https://vp.fact.qq.com/article?id=3c5e4a8220dbb533504383246299d2b8
60,男性比女性更容易感染新冠肺炎,近日，在《科学》杂志上出现了一篇评论性文章，认为雄性激素可能助力新冠病毒对细胞的入侵，从这点来看，男性更容易感染新冠病毒。,疑,https://vp.fact.qq.com/article?id=8041d7700f6ab659e2688a60ca34e8b2
61,三文鱼感染新冠病毒并传播给人的可能性几乎为0,三文鱼会传播新冠病毒吗？——来自较真用户@简单爱的提问,真,https://vp.fact.qq.com/article?id=3026be2343847fecd92c8288111ab627
62,陈薇院士团队研制的新冠疫苗有望在泰邦生物大量生产,近日，一则“陈薇团队研制的新冠疫苗和特免球蛋白有望在贵州实现投产”在网络上流传，中国生物技术信息网官方微信平台中国生物技术网也转发了信息源为贵州日报的信息。,假,https://vp.fact.qq.com/article?id=e6cc71555c0a7fff14b30ab23a773b37
63,疫情期间杭州给外籍人士发5000元疫情补助,这两天，一条关于“疫情期间杭州给外籍人士发5000元疫情补助”的帖子在网上流传，帖子称：“越南国家电视台《今日越南》4月25日的节目，播出了关于疫情期间杭州市政府给外籍人士发放5000元疫情补贴的新闻报道。”,假,https://vp.fact.qq.com/article?id=be3aea585b07c193778985e180cf164b
64,患普通感冒有助于抗新冠病毒,得过感冒的人都可能已经有了抗新冠病毒的免疫力，患普通感冒有助于抗新冠病毒。,疑,https://vp.fact.qq.com/article?id=4ff0cdf7eb98873c62b4565bdbce3a22
65,新冠抗体重大突破，100%抑制病毒，4天内清除,美国加州一家生物制药公司宣称发现一种抗体，可以100%抑制新冠病毒，保护人体免受新冠病毒感染，并在4天内在人体中建立防御屏障，隔离冠状病毒，并将病毒从人体中清除。,假,https://vp.fact.qq.com/article?id=f46f04bf6af9bc19272fc6b4b796573a
66,荷兰以色列已开发出能使新冠病毒失效阻断感染的抗体,全球新冠感染突破370万的危急关头，荷兰和以色列两项正在独立进行的研究，同时宣布在治疗新冠肺炎方面取得“重大突破”！两国研究院均声明，已成功发展出一种抗体，“能使感染者体内的新冠病毒失效”，并“阻止病毒感染人体”！,假,https://vp.fact.qq.com/article?id=5ef622d7cb575f318234416513c50437
67,黑龙江省规定疫情期间乘电梯要背对背,近日，网传一则“黑龙江省电梯行业协会规定”，“规定”中称，从本月开始，乘客进入电梯后要背对背站立。,假,https://vp.fact.qq.com/article?id=0cb1834d749e68e1f61edbb25a88b79b
68,印度完了！印度新冠病人在街头突然倒地,网上有疑似发生在印度的视频流传，视频转发者称：“印度完了”，许多人误以为是“印度新冠病人在街头突然倒地”。,假,https://vp.fact.qq.com/article?id=025ee19f852876b33131d1bfd42c4aa5
69,新冠肺炎“复阳”患者几乎不具备传染性,复阳是否有传染性？——来自较真用户@鲨鱼猫的提问。,真,https://vp.fact.qq.com/article?id=cf0a437bf3fbe9b971478571b31778b8
70,初中生跑步时因为戴口罩导致猝死,网上都传初三学生戴口罩跑步猝死，戴口罩运动真的这么危险吗？——来自较真用户提问,疑,https://vp.fact.qq.com/article?id=ee2142f158e5698be1840d28ee761e28
71,新冠病毒可以通过性行为传播,最近美国的一项研究中，研究人员在新冠肺炎患者中的精液中发现了新冠病毒，由此有人推测新型冠状病毒可能会通过性行为传播。,疑,https://vp.fact.qq.com/article?id=689e126eb73201dc18c56f0d579f99be
72,羊驼抗体能够消灭新型冠状病毒,羊驼抗体可灭新型冠状病毒，是真的吗？——来自较真用户@zhang xiao的提问,疑,https://vp.fact.qq.com/article?id=5fce2da536d91c15c7df14c57e17204f
73,印度使用挖掘机活埋新冠病毒感染者,近日，有一段“新冠病毒感染者被活埋”的视频在网络流传。大量转发的人称“印度活埋新冠病毒感染者”。此外还有说法称视频为“非洲无力治疫，采用活埋病人法隔离”的场景，被网友大量转发。,假,https://vp.fact.qq.com/article?id=de49a359a6e6b0c292f9bf41a388fd27
74,日本诺奖得主本庶佑称新冠病毒是中国实验室制造,"社交媒体流传日本诺贝尔奖得主本庶佑教授的一段话：我对动物和病毒进行了40年的研究，新冠病毒不是自然的，完全是人工的，我在中国武汉实验室工作了4年，我完全熟悉那个实验室的所有工作人员，新冠病毒出现后, 我一直在给他们打电话， 但是过去3个月他们所有的电话都打不通，现在了解到,...",假,https://vp.fact.qq.com/article?id=4e8337331c5d5495f222b92b74ab91b5
75,世界卫生组织5月1日重申新冠病毒源自自然界,新冠病毒爆发以来，一直有人说这个病毒不是来自大自然，而是人为操纵，不过这个说法遭到很多专业机构的驳斥，世界卫生组织反复声明该病毒源自自然界动物，并非实验室人工合成。,真,https://vp.fact.qq.com/article?id=cbe88c755b3d521da3c7e32b2cdca963
76,泰国猫咪疫情期间违反外出禁令被捕，“罪犯照”流出,近日，有媒体报道称泰国警察逮捕了一只疫情期间违反禁令晚间出行的猫。网传图片中出现泰国警察与一只猫咪，以及猫咪的一张“罪犯照”。,假,https://vp.fact.qq.com/article?id=48f277179821d0ad52d4c09f9fc97a1d
77,吸烟者可能较易感染新型冠状病毒,近日，有说法称，吸烟的人比一般人更有可能感染新型冠状病毒。,真,https://vp.fact.qq.com/article?id=f394c4ce61e91c3632372f5b20587f62
78,已有抗体的新冠肺炎治愈者不会再次感染,近日，有人认为已有抗体的新冠肺炎治愈者不会再次感染，因此建议对新冠病毒产生的SARS-CoV-2抗体进行检测，并据此发放“免疫护照”，能够出行或复工。,疑,https://vp.fact.qq.com/article?id=c4522920fcdf087f1da84a7ff4980849
79,儿童佩戴N95口罩可能会造成不可逆伤害,儿童佩戴N95口罩会造成不可逆伤害？——来自较真用户@Akatsuki Ame,真,https://vp.fact.qq.com/article?id=616f1656f8ba420f1707adef67a4271c
80,英国新冠疫苗人体试验先行者Elisa已死亡,有传闻称：英国新冠疫苗人体试验先行者、微生物学家Elisa Granato，因并发症发作而死。,假,https://vp.fact.qq.com/article?id=594d6d05040c35a57fbbf5cbc667b6a7
81,王辰院士表示中国已决定实行“群体免疫”,王辰院士在4月3日答记者问时表示：中国已明确要抄英、德、美的作业——群体免疫，趁秋天之前让中青年人感染，才能以最小的代价控制住疫情。否则中国人将被锁在国内，出不了门。,假,https://vp.fact.qq.com/article?id=c07622943d5fe51f4d6e0886ad851c23
82,全国31省市摘口罩时间表公布,近日，一张网络截图在社交媒体流传，截图内容包含了全国各地摘口罩的时间，不少省份显示“已摘”，但是福建省7月10日才能摘口罩，而广东要到9月。,假,https://vp.fact.qq.com/article?id=e5256e5d645b686c024e1f7d513732ee
83,商务部对外贸易司指定5家企业生产出口医疗物资,近日，有企业和群众反映商务部对外贸易司指定5家企业生产出口医用口罩、医用防护服等医疗物资，出口国别为意大利等15个国家和地区。,假,https://vp.fact.qq.com/article?id=8c189620865ebe5cbd5623f9746798b0
84,脚上起“水痘”、失去嗅觉和味觉，是新冠新症状,脚上出现“水痘”样病变，失去味觉和嗅觉，以及头痛头晕，已确定为新冠病毒感染引发的新症状。,疑,https://vp.fact.qq.com/article?id=f19b243999e3bfa06f8f9407b5354aad
85,新冠肺炎的R0是5.7，高于常见的流行病,有研究发现新冠肺炎的R0值高达5.7，高于小儿麻痹（R0值为4.9）、天花（R0值为5.2）两种常见流行病，同为冠状病毒引发的人类传染病，非典的R0值是3左右，中东呼吸综合征的R0值还不到1。,疑,https://vp.fact.qq.com/article?id=2752ad5f197001868fdbb00562069e79
86,钟南山说过“五月份疫情将全面爆发”,“钟南山：五月疫情将全面爆发”——来自较真用户@松青的提问。,假,https://vp.fact.qq.com/article?id=7790c4f2b219b9030722d0528ad54c63
87,组合用羟氯喹阿奇霉素和硫酸锌能有效治疗新冠肺炎,美国医疗专家发表的关于氰氯喹+阿奇霉素+硫酸锌便可治疗新冠病毒感染患者(在轻症期间)，可行吗？——来自较真用户@wgydzq的提问。,疑,https://vp.fact.qq.com/article?id=1a7fa3623d0da9e130f94455f795be99
88,美国纽约殡葬公司员工累倒午睡，被同事误当尸体火化,网传有美国殡葬业工作者因太累休息睡着时被误当新冠肺炎逝世者被活活烧死，求真伪。——来自较真用户@严勇的提问,假,https://vp.fact.qq.com/article?id=7ae9444a963f5842baef97f121f06c47
89,4月20日北京市朝阳区被列为疫情高风险地区,朋友圈被刷屏了！北京市朝阳区成为疫情高风险地区。,真,https://vp.fact.qq.com/article?id=d13858a6c67dd6e89e43fd84c3451f95
90,美国纽约大量青壮年一发病就上呼吸机，是ADE导致,最近一篇名为《纽约大量青壮年患者一发病就严重到上呼吸机，疑似ADE效应》在网上流传，称纽约的新冠肺炎确诊患者中，青壮年危重症患者多，情况不容乐观，是ADE效应导致。,假,https://vp.fact.qq.com/article?id=8f02d98781aa8e2f22fa047e0263b7b5
91,北京市教委确认幼升小以及小升初预计推迟至今年七月,北京市幼升小以及小升初预计推迟至今年七月，街道联审推迟半个月到一个月，六年级期末考试结束于七月十二日。,假,https://vp.fact.qq.com/article?id=1aa82147935676cf468752abb564967e
92,北京西站出现大量白衣人，意味着北京疫情大爆发,近日网上流传着一张“北京西站”的图，图中许多白色大巴车在西站停靠，多名身着白色防护服的工作人员正严阵以待。图片配文称，北京西站出现了大量的白衣人和旅游巴士，疑似疫情大爆发。,假,https://vp.fact.qq.com/article?id=0339de524df4a015cb64e6a50df0f345
93,有论文证明新冠病毒可以通过鞋底传播4米,最近，一篇标题为《新冠病毒可通过鞋底传播，传播距离至少为4米》的文章广为传播，文章提到一篇论文，说论文最终的结论是：病毒能通过医务人员的鞋底传播至少4米。,假,https://vp.fact.qq.com/article?id=a10e6ab205dbc478c8663fa599873c73
94,比尔·盖茨利用新冠疫情控制人口，完成人类清除计划,最近，有消息称，早在5年前，比尔·盖茨就曾预言过此次疫情的爆发。这次的新冠病毒就是比尔·盖茨基金会投放出来的，目的是用疫苗当幌子进行人体试验，最终完成他的“人类清除计划”。,假,https://vp.fact.qq.com/article?id=886587566617adfc246a43240d63fb37
95,美国基于唾液的新冠病毒检测方法准确率100%,美国团队利用唾液检测新冠肺炎病毒，结果与鼻咽拭子的结果匹配度达100%，也就是说该检测方法的准确率达到了100%。,疑,https://vp.fact.qq.com/article?id=6086c47d4685a44dd9f27c4602e137c7
96,长期高浓度使用84消毒液，可能导致过敏性肺泡炎,郑州两女子肺部CT呈毛玻璃影，检查发现不是新型冠状肺炎，而是过敏性肺泡炎。原来两位女士居家期间，因为害怕新冠肺炎，每天定时在家里喷洒84消毒液，而且都是高浓度的。慎用84消毒液！84消毒液效果虽然好，但一定要注意它的危害！,真,https://vp.fact.qq.com/article?id=3c74035abe1532bc54fe79712b35902b
97,中国象棋已被印度申遗6次，联合国都看不下去了,4月14日，一则“印度申遗中国象棋6次被拒，理由亮了”的“新闻”在网络流传，引发关注。,假,https://vp.fact.qq.com/article?id=f7d2e6ecdfae28353175cce74ec16b1a
98,特朗普请巫师到白宫施法以驱除新冠病毒,近日网传一段视频，视频中几位男士将手搭在美国总统特朗普的肩上，表情严肃，该视频配文称此场景为特朗普请巫师到白宫施法以驱除新冠病毒的场景。,假,https://vp.fact.qq.com/article?id=7e280a5681f5e64c0ad891cfdcda789c
99,无症状感染者是新冠病毒后期的特征,这次新冠疫情到了中后期才发现无症状感染者，无症状感染是新冠病毒后期的特征。,假,https://vp.fact.qq.com/article?id=90f20814bc09edbfc4b5825b2fd4cb20
100,氯喹和羟氯喹可以有效治疗新冠肺炎,氯喹是抗疟疾的药物，研究人员发现氯喹具有抗病毒的作用，可以用来治疗新冠肺炎。,疑,https://vp.fact.qq.com/article?id=4e3f0083838e7cfcd3523e072c7cb901
101,剑桥研究可确定病毒有三个版本，原始版本美澳更常见,剑桥大学的一项新研究发现，新冠病毒可分为三个变种，在人类中最早出现的原始版本的新冠病毒虽然出现在武汉，但是并没有大规模流行，而是在美国和澳大利亚更常见。相反地，在武汉流行的新冠病毒是原始版本变异而来的另一类型。,疑,https://vp.fact.qq.com/article?id=df1e3949d084069b058706fc49f2f99c
102,伊维菌素可以治疗新冠肺炎,伊维菌素可用于治疗新冠肺炎。——来自较真用户@小边也疯狂的提问。,假,https://vp.fact.qq.com/article?id=11a62805811147657740a6df02637c2d
